quarter,volume_bin,last_price_impact,abs_tradevolume,timestamp,ILLIQ,price_impact_per_unit
2025Q2,0.0,4.937768584250656e-05,0.03608506159936783,324,1175.0570195593446,0.0013683691714515905
2025Q2,1.0,0.0003364811890629292,0.24828552484173905,323,1357.6999736262987,0.0013552187115113028
2025Q2,2.0,0.0004885066028220667,0.38476689062558717,324,1273.3399801320838,0.001269617045343508
2025Q2,3.0,0.0006323926585675712,0.5092916201667314,323,1242.4323089704624,0.0012417103159100462
2025Q2,4.0,0.0008100412535271495,0.6417605482087503,324,1260.7577442423067,0.0012622172799311143
2025Q2,5.0,0.0009351977423325416,0.7326236278097785,323,1277.7213496127163,0.0012765050249994945
2025Q2,6.0,0.0011354421558721901,0.9265916663534756,323,1224.167392687642,0.0012253964686954593
2025Q2,7.0,0.0015323700121299222,1.2776725375353168,324,1200.522742487116,0.0011993448768069534
2025Q2,8.0,0.0022480587013493872,1.8034583750278028,323,1245.2470463862005,0.0012465265250797542
2025Q2,9.0,0.005820490412296768,4.6582202171039855,324,1245.152998351804,0.0012495094995563275
