volume_bin,last_price_impact,abs_tradevolume,timestamp,ILLIQ,price_impact_per_unit
0.0,1.8399786589448975e-06,153.2269126770166,6087,0.011168640388505326,1.2008195080085867e-08
1.0,1.4752024160804048e-05,1457.8066447225235,6087,0.01002440515962334,1.0119328385700919e-08
2.0,5.6340209079006854e-05,6552.605582688465,6086,0.008701358899716039,8.598138308195113e-09
3.0,0.00013066523860079306,15475.984376545424,6087,0.008462608729172944,8.443097086529909e-09
4.0,0.0002251283507109727,26837.191988156916,6086,0.008383153444600883,8.388670126528902e-09
5.0,0.0003479306683198313,41281.163409562345,6087,0.008428935475570682,8.428315473280408e-09
6.0,0.0004992609057278152,59576.64985618534,6086,0.00838448360593932,8.380144015029424e-09
7.0,0.0007051962739694305,85234.76655107032,6087,0.008278788970187282,8.273575472831224e-09
8.0,0.0010432322107699352,128575.670514674,6086,0.008120269667710263,8.11376060956162e-09
9.0,0.002052966694746674,304166.97736585804,6087,0.0075185354552681485,6.749472649942947e-09
