volume_bin,last_price_impact,abs_tradevolume,timestamp,ILLIQ,price_impact_per_unit
0.0,6.172157203623237e-06,1.4097313420987692,3143,4.899520435957296,4.378250677490294e-06
1.0,7.199775116950127e-05,12.508583664835559,3143,5.574048413936817,5.755867578509559e-06
2.0,0.0001553588146634828,28.30773891618449,3142,5.568731005156786,5.488209959950525e-06
3.0,0.00022947680512016563,40.52511266461155,3143,5.70167771542844,5.662582779703304e-06
4.0,0.00030234468164909233,56.733493878131256,3142,5.362350891435158,5.329209625244594e-06
5.0,0.0003862136423912317,78.11581160844314,3143,4.982047965773471,4.9441161070838545e-06
6.0,0.0005089572659833778,104.98894652101293,3142,4.844482143469167,4.847722382674951e-06
7.0,0.0007221604163566242,151.30146615780285,3143,4.791701398746058,4.772990207533302e-06
8.0,0.0009471752936544007,234.4452268293208,3142,4.063562105607027,4.040070708472802e-06
9.0,0.0016719975220301523,581.1466719619202,3143,3.1292454113398565,2.8770663288590775e-06
