volume_bin,last_price_impact,abs_tradevolume,timestamp,ILLIQ,price_impact_per_unit
0.0,1.839978658945171e-06,1.532269126770166e-10,6087,11168640388.509169,12008.195080087653
1.0,1.4752024160804778e-05,1.4578066447225235e-09,6087,10024405159.62387,10119.328385701421
2.0,5.634020907900817e-05,6.5526055826884656e-09,6086,8701358899.716196,8598.138308195314
3.0,0.00013066523860079193,1.5475984376545427e-08,6087,8462608729.172882,8443.097086529835
4.0,0.00022512835071097112,2.683719198815692e-08,6086,8383153444.600827,8388.670126528841
5.0,0.0003479306683198318,4.128116340956234e-08,6087,8428935475.570691,8428.315473280421
6.0,0.0004992609057278138,5.9576649856185345e-08,6086,8384483605.939296,8380.1440150294
7.0,0.0007051962739694335,8.523476655107031e-08,6087,8278788970.187317,8273.575472831259
8.0,0.0010432322107699363,1.28575670514674e-07,6086,8120269667.71027,8113.7606095616275
9.0,0.002052966694746674,3.0416697736585804e-07,6087,7518535455.268146,6749.472649942946
