timestamp,last_price_impact,ILLIQ,abs_tradevolume
2025-03-01 00:45:00,0.0008995501649503579,3481.3503026520884,0.25839116628541564
2025-03-01 01:33:00,0.0004998500349930879,3172.1072760395014,0.15757664905241475
2025-03-01 01:35:00,0.0005997900559874259,3281.8469352011207,0.18275991166866198
2025-03-01 01:36:00,0.0008995501649502469,3201.3726879121846,0.28098889215454004
2025-03-01 01:38:00,0.0006997200839788942,3492.2234975478254,0.20036520700070445
2025-03-01 01:40:00,0.0013989505597620244,3331.2816115641413,0.4199436501872843
2025-03-01 01:41:00,0.0005997900559872038,3589.454801951665,0.16709781542898516
2025-03-01 02:02:00,0.0005997900559874259,3432.3307502687453,0.17474716151421693
2025-03-01 02:03:00,0.0005997900559872038,3333.9059202585563,0.17990611322970024
2025-03-01 02:05:00,0.0013989505597621354,3356.7131795107625,0.4167620183640567
2025-03-01 02:08:00,0.00159864081561234,3191.948979994868,0.5008353283939113
2025-03-01 02:14:00,0.0007996401199669156,3383.4349535043484,0.23633973490127214
2025-03-01 02:17:00,0.0006997200839788942,3293.034773857305,0.21248487551173814
2025-03-01 02:31:00,0.00159864081561234,3363.941487974042,0.4752284845998118
2025-03-01 04:43:00,0.0015010504551364878,3265.9578242245207,0.45960497223900987
2025-03-01 08:01:00,0.0012006602200491656,3301.424336668356,0.36367946001779833
2025-03-01 08:25:00,0.0009003600840125081,3424.806391026753,0.2628937175460541
2025-03-01 08:28:00,0.0009003600840125081,3384.9538956232227,0.26598887659199205
2025-03-01 10:19:00,0.0006997200839791162,3549.7785525744384,0.1971165450508601
2025-03-01 11:35:00,0.0,0.0,0.003261977977608976
2025-03-01 12:30:00,0.0008995501649503579,3594.8757273379556,0.2502312272186623
2025-03-01 12:33:00,0.0007996401199669156,3087.001626012601,0.25903456390458396
2025-03-01 12:40:00,0.0005997900559872038,3633.8375930868874,0.16505692415320403
2025-03-01 14:26:00,0.0,0.0,0.00119158702081654
2025-03-01 15:17:00,0.0024967529229534824,3304.6813823048064,0.7555200136153988
2025-03-01 15:24:00,0.0009994502199283106,3473.487526345776,0.28773680986261246
2025-03-01 15:25:00,0.0005997900559873148,3407.684241714871,0.17601104252707364
2025-03-01 16:21:00,0.0009994502199284216,3348.563111574652,0.2984713701449196
2025-03-01 16:28:00,0.0009994502199284216,3452.7613345369723,0.28946403272395643
2025-03-01 16:30:00,0.0009994502199284216,3221.2419227074697,0.3102685994749438
2025-03-01 16:35:00,0.0009994502199284216,3576.502543447937,0.2794490449222214
2025-03-01 16:38:00,0.0012990904548177973,2877.6575986403273,0.4514402462028868
2025-03-01 16:40:00,0.0008995501649504689,2751.095101578981,0.3269789417436625
2025-03-01 16:45:00,0.002995354955910523,2693.8562095742604,1.1119208758302328
2025-03-01 16:54:00,0.0014988006796939901,2789.602673406342,0.5372810594075847
2025-03-01 16:56:00,0.0009994502199283106,2854.685559060513,0.3501086894688441
2025-03-01 17:01:00,0.0010993402858999746,2770.700464064029,0.39677341529999816
2025-03-01 17:15:00,0.0002000099999999172,2536.2070941008005,0.07886185653574546
2025-03-01 17:26:00,0.0008995501649504689,2589.7760244928,0.3473467035152753
2025-03-01 18:04:00,0.0006997200839787832,2783.2561945113616,0.2514034048890812
2025-03-01 18:05:00,0.0002000099999999172,2539.8759272966313,0.07874794112986531
2025-03-01 18:06:00,0.0005997900559874259,2986.009205341701,0.20086678062293162
2025-03-01 18:07:00,0.0004998500349928658,2793.0875391610516,0.17895967383213626
2025-03-01 19:02:00,0.0002000099999999172,2542.009361938473,0.07868185026958145
2025-03-01 19:25:00,0.0004998500349928658,2485.287244228097,0.20112364723785228
2025-03-01 19:43:00,0.0012990904548180193,2883.321872145433,0.4505533937670952
2025-03-01 19:46:00,0.0004998500349928658,2785.703330852786,0.1794340515218636
2025-03-01 19:48:00,0.0009994502199284216,2720.0662785951863,0.3674359804366976
2025-03-01 19:54:00,0.0016984709685154975,2677.104012904261,0.6344433986608194
2025-03-01 19:57:00,0.0006997200839788942,2910.9658527159863,0.24037385506464873
2025-03-01 20:00:00,0.0012990904548180193,3407.7501327523546,0.3812164637108462
2025-03-01 20:20:00,0.0011992203638634402,3456.281510499488,0.3469683705509664
2025-03-01 22:09:00,0.0015010504551364878,3393.174007703854,0.4423735569494835
2025-03-02 00:35:00,0.0001999700039995167,3165.330329205002,0.06317508228272048
2025-03-02 01:18:00,0.0011005501650327432,3309.4601699485734,0.3325467322514551
2025-03-02 01:22:00,0.0009003600840127302,3331.624906467136,0.27024653413564326
2025-03-02 06:14:00,0.0006997200839788942,3165.724954987839,0.2210299675202144
2025-03-02 06:16:00,0.0009994502199285327,3416.3915922025117,0.2925455683153106
2025-03-02 06:17:00,0.0009994502199284216,3541.9523533982374,0.282174947658323
2025-03-02 11:21:00,0.0011005501650329652,3279.617201988245,0.3355727504922722
2025-03-02 11:23:00,0.0008002800560069634,3567.6226716950555,0.2243174600151122
2025-03-02 11:27:00,0.0011992203638634402,3503.7027217614445,0.3422722927990154
2025-03-02 12:25:00,0.0009003600840125081,3438.237738770045,0.2618667330242825
2025-03-02 12:27:00,0.0007002100350035345,3553.6029516527915,0.1970422820247447
2025-03-02 14:45:00,0.0008995501649504689,3705.147530359283,0.24278389931297575
2025-03-02 14:46:00,0.002297242298505364,3408.1096871422787,0.6740517499105542
2025-03-02 14:52:00,0.0004998500349929769,3342.765469086598,0.14953188897501674
2025-03-02 14:53:00,0.0013989505597619134,3293.1004521279565,0.4248125983700044
2025-03-02 14:54:00,0.0025964932736260993,3470.3734208261562,0.7481884393316898
