volume_bin,last_price_impact,abs_tradevolume,timestamp,ILLIQ,price_impact_per_unit
0.0,5.7341399136811e-05,0.030685592136734573,708,2016.1731715624271,0.00186867500816991
1.0,0.00034034654083615206,0.1775453982551207,708,1910.3709159848138,0.0019169550108367054
2.0,0.0005056916953549027,0.27416288237564357,708,1842.0651865945567,0.001844493649078399
3.0,0.0006528645857503955,0.36856437608159226,708,1777.6844075049717,0.0017713719179573266
4.0,0.0007847649140006194,0.4823897374731681,708,1625.6342344267703,0.001626827548428661
5.0,0.000947802163890462,0.6267138944623416,707,1515.2572792403928,0.0015123362865659495
6.0,0.0011975520077556476,0.783351075508231,708,1527.9916449133368,0.001528755171464706
7.0,0.0016243314715161108,1.046573799805537,708,1551.7870652702122,0.0015520467565860393
8.0,0.002345678588903922,1.5792040441912423,708,1479.9054641870327,0.0014853549783715343
9.0,0.006485294312786103,4.23383535331039,708,1532.4067999999438,0.0015317776369634503
